ID,Face ID,Event Type,Timestamp,Image Path
1,,entry,2025-07-07 20:36:03,logs/entries\None_20250707_203603.jpg
2,,exit,2025-07-07 20:36:12,logs/exits\None_20250707_203612.jpg
3,,entry,2025-07-07 20:36:29,logs/entries\None_20250707_203629.jpg
4,,exit,2025-07-07 20:37:39,logs/exits\None_20250707_203739.jpg
5,,entry,2025-07-07 20:37:54,logs/entries\None_20250707_203754.jpg
6,,exit,2025-07-07 20:37:57,logs/exits\None_20250707_203757.jpg
7,,entry,2025-07-07 20:38:26,logs/entries\None_20250707_203826.jpg
8,,exit,2025-07-07 20:38:40,logs/exits\None_20250707_203840.jpg
9,,entry,2025-07-07 20:38:43,logs/entries\None_20250707_203843.jpg
10,,exit,2025-07-07 20:39:03,logs/exits\None_20250707_203903.jpg
11,,entry,2025-07-07 20:39:20,logs/entries\None_20250707_203920.jpg
12,,exit,2025-07-07 20:39:23,logs/exits\None_20250707_203923.jpg
13,,entry,2025-07-07 20:39:39,logs/entries\None_20250707_203939.jpg
14,,exit,2025-07-07 20:39:46,logs/exits\None_20250707_203946.jpg
15,,entry,2025-07-07 20:39:47,logs/entries\None_20250707_203947.jpg
16,,exit,2025-07-07 20:39:49,logs/exits\None_20250707_203949.jpg
17,,entry,2025-07-07 20:39:51,logs/entries\None_20250707_203951.jpg
18,,exit,2025-07-07 20:39:53,logs/exits\None_20250707_203953.jpg
19,,entry,2025-07-07 20:39:54,logs/entries\None_20250707_203954.jpg
20,a34372e3,entry,2025-07-07 20:40:00,logs/entries\a34372e3_20250707_204000.jpg
21,a34372e3,exit,2025-07-07 20:40:05,logs/exits\a34372e3_20250707_204005.jpg
22,,exit,2025-07-07 20:40:14,logs/exits\None_20250707_204014.jpg
23,a34372e3,entry,2025-07-07 20:50:56,logs/entries\a34372e3_20250707_205056.jpg
24,a34372e3,exit,2025-07-07 20:50:59,logs/exits\a34372e3_20250707_205059.jpg
25,a34372e3,entry,2025-07-08 09:02:09,logs/entries\a34372e3_20250708_090209.jpg
26,a34372e3,exit,2025-07-08 09:02:12,logs/exits\a34372e3_20250708_090212.jpg
27,unknown,entry,2025-07-08 09:16:25,logs/entries\unknown_20250708_091625.jpg
28,unknown,exit,2025-07-08 09:16:29,logs/exits\unknown_20250708_091629.jpg
29,1,entry,2025-07-08 09:25:40,logs/entries\1_20250708_092540.jpg
30,1,exit,2025-07-08 09:25:44,logs/exits\1_20250708_092544.jpg
31,a34372e3,entry,2025-07-08 10:01:48,logs/entries\a34372e3_20250708_100148.jpg
32,a34372e3,exit,2025-07-08 10:01:54,logs/exits\a34372e3_20250708_100154.jpg
33,a34372e3,entry,2025-07-08 11:22:57,logs/entries\a34372e3_20250708_112257.jpg
34,a34372e3,exit,2025-07-08 11:23:02,logs/exits\a34372e3_20250708_112302.jpg
35,a34372e3,entry,2025-07-08 13:48:05,logs/entries\a34372e3_20250708_134805.jpg
36,a34372e3,exit,2025-07-08 13:48:08,logs/exits\a34372e3_20250708_134808.jpg